"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.301116419E1,5.237292798E1,4.900652890E0,2.764747936E0,9.081401722E-1,3.389171419E2,5.982219277E0,1.873639303E0
7.401116383E1,5.237293992E1,4.900625573E0,2.798792617E0,9.138771338E-1,3.310018844E2,5.936242689E0,1.911401100E0
7.501116276E1,5.237294574E1,4.900610567E0,2.953333534E0,9.463966259E-1,3.292192029E2,6.028840294E0,1.897806926E0
7.601116121E1,5.237295905E1,4.900622324E0,3.193403190E0,9.110540922E-1,3.379454928E2,6.091996170E0,1.883926594E0
7.701116037E1,5.237297163E1,4.900604775E0,3.273810558E0,9.547120989E-1,3.343520996E2,6.185173137E0,1.929514786E0
7.801115942E1,5.237297967E1,4.900600511E0,3.055751633E0,1.003384207E0,3.351260593E2,6.345104245E0,1.913003800E0
7.901115894E1,5.237298790E1,4.900594919E0,3.024877407E0,9.710948817E-1,3.354415824E2,6.664328376E0,1.916241925E0
8.001115811E1,5.237301141E1,4.900575740E0,2.809605002E0,1.051730748E0,3.351703175E2,6.887727456E0,1.953728604E0
8.101115620E1,5.237302468E1,4.900561191E0,2.726909907E0,1.116456414E0,3.333334251E2,7.139182406E0,2.008852327E0
8.201115561E1,5.237303552E1,4.900552131E0,4.229877169E0,1.242714618E0,3.354511254E2,6.882872934E0,1.969188472E0
8.301115477E1,5.237305811E1,4.900547092E0,3.205323108E0,1.415624602E0,3.396112485E2,6.042602554E0,2.175228104E0
8.401115417E1,5.237306921E1,4.900537400E0,3.091191156E0,1.164446443E0,3.463342157E2,5.292884483E0,2.410375672E0
8.501115334E1,5.237308303E1,4.900524644E0,2.858112668E0,1.118025997E0,3.439660113E2,5.145982697E0,2.709870682E0
8.601115155E1,5.237309089E1,4.900521422E0,3.187735379E0,1.092700439E0,3.420460079E2,5.065105775E0,2.858188329E0
8.701115108E1,5.237310217E1,4.900524972E0,2.619505323E0,1.091653359E0,3.511323655E2,4.945185390E0,3.060993056E0
8.801115036E1,5.237311744E1,4.900520574E0,2.527665039E0,1.233417856E0,3.518889254E2,4.881818399E0,3.161073576E0
8.901114905E1,5.237313201E1,4.900525087E0,2.785858044E0,1.329272379E0,3.572678053E2,4.859983131E0,3.194542378E0
9.001114810E1,5.237314859E1,4.900531757E0,2.881251368E0,1.529535179E0,1.279595808E0,4.874060507E0,3.173022409E0
9.101114631E1,5.237317055E1,4.900536811E0,2.893338239E0,1.756318734E0,2.682863852E0,4.811966656E0,3.266422192E0
9.201114619E1,5.237318666E1,4.900548623E0,3.219071220E0,1.826789230E0,8.816601201E0,4.813653929E0,3.263935184E0
9.301114500E1,5.237320327E1,4.900555759E0,3.167843160E0,1.913107974E0,1.329116966E1,4.807878283E0,3.272436928E0
9.401114440E1,5.237321725E1,4.900564686E0,3.397566660E0,1.865277857E0,1.652433427E1,4.811960645E0,3.266431047E0
9.501114345E1,5.237323423E1,4.900574379E0,3.288300473E0,1.902210480E0,1.851091039E1,5.345093191E0,3.205520352E0
9.601114249E1,5.237325167E1,4.900584610E0,3.138574420E0,1.990431733E0,2.035562607E1,5.976605335E0,3.098291429E0
9.701114118E1,5.237326051E1,4.900604655E0,3.169398491E0,1.864836025E0,2.911572255E1,6.542798700E0,2.933798454E0
9.801114035E1,5.237327004E1,4.900621473E0,3.257447766E0,1.734493878E0,3.391890975E1,7.036126407E0,2.764142046E0
9.901113975E1,5.237327716E1,4.900638290E0,3.594558918E0,1.590292952E0,3.763592535E1,7.383101395E0,2.633453854E0
1.000111383E2,5.237328451E1,4.900651935E0,2.897798297E0,1.391584774E0,3.946127431E1,7.349563161E0,2.585817218E0
1.010111377E2,5.237330087E1,4.900650529E0,2.941751314E0,1.358565387E0,3.339680856E1,7.405177151E0,2.537665689E0
1.020111358E2,5.237332158E1,4.900645757E0,2.755655751E0,1.310238638E0,2.772876680E1,7.325937224E0,2.699933270E0
1.030111357E2,5.237334355E1,4.900646271E0,2.627665587E0,1.371735880E0,2.046715797E1,7.466344376E0,2.699390737E0
1.040111341E2,5.237335354E1,4.900654478E0,2.921586697E0,1.378673301E0,2.130750609E1,7.163034472E0,2.779716734E0
1.050111333E2,5.237336440E1,4.900658895E0,2.985344507E0,1.260046647E0,2.188380312E1,7.289755460E0,2.723408809E0
1.060111328E2,5.237338428E1,4.900656410E0,2.940796067E0,1.348981160E0,2.357687959E1,7.139905208E0,2.715770097E0
1.070111318E2,5.237338654E1,4.900646675E0,2.577950224E0,1.013658228E0,2.471274600E1,7.269608869E0,2.644893814E0
1.080111302E2,5.237339226E1,4.900683192E0,2.799979651E0,1.047981590E0,3.508177841E1,6.743171024E0,2.831913466E0
1.090111293E2,5.237340589E1,4.900703024E0,3.863891262E0,1.318615340E0,3.463283686E1,6.691946467E0,2.872374445E0
1.100111290E2,5.237341694E1,4.900703931E0,3.001921009E0,1.287144724E0,3.092837006E1,6.713954513E0,2.817297962E0
1.110111274E2,5.237342898E1,4.900711050E0,3.216725586E0,1.397649443E0,3.093835872E1,6.908435835E0,2.661309068E0
1.120111262E2,5.237344016E1,4.900725034E0,3.171637872E0,1.453478590E0,3.212643918E1,7.223154971E0,2.322893741E0
