"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.047469842E1,5.237742732E1,4.898332407E0,3.073500613E0,1.272907009E0,1.309490629E2,4.866306018E0,3.184902318E0
9.147470284E1,5.237741270E1,4.898345145E0,3.350848508E0,1.336722495E0,1.376107867E2,4.855499424E0,3.201353210E0
9.247470665E1,5.237740419E1,4.898365552E0,3.716473129E0,1.428809098E0,1.406136848E2,4.860727499E0,3.193409653E0
9.347471070E1,5.237739087E1,4.898379670E0,3.794777685E0,1.466382951E0,1.434409161E2,4.862807218E0,3.190241839E0
9.447471535E1,5.237737639E1,4.898390146E0,4.048399351E0,1.357750384E0,1.457990563E2,4.824694552E0,3.247592879E0
9.547471893E1,5.237736482E1,4.898400519E0,4.567607437E0,1.435954745E0,1.450655816E2,4.798650090E0,3.285954100E0
9.647472286E1,5.237734739E1,4.898415294E0,4.442081924E0,1.560946040E0,1.489608526E2,4.784256712E0,3.306875375E0
9.747472739E1,5.237733804E1,4.898419681E0,4.771956845E0,1.625988220E0,1.496440795E2,4.752489005E0,3.352370101E0
9.847473145E1,5.237732818E1,4.898424875E0,3.560730772E0,1.584751266E0,1.499554257E2,4.749614597E0,3.356441301E0
9.947473526E1,5.237731460E1,4.898430403E0,2.404426659E0,1.467795937E0,1.572449127E2,4.747451770E0,3.359499773E0
1.004747403E2,5.237730527E1,4.898438203E0,2.609769178E0,1.423788297E0,1.577502708E2,4.744502625E0,3.363663461E0
1.014747435E2,5.237729663E1,4.898448176E0,3.301947016E0,1.366933080E0,1.537557195E2,4.746134958E0,3.361359842E0
1.024747481E2,5.237728403E1,4.898463305E0,3.110593847E0,1.606112173E0,1.501657661E2,4.746467076E0,3.360890854E0
1.034747527E2,5.237727191E1,4.898478629E0,3.403925769E0,1.663282940E0,1.465900507E2,4.747075885E0,3.360030889E0
1.044747560E2,5.237725409E1,4.898491627E0,3.783945836E0,1.686344589E0,1.503595485E2,4.743380061E0,3.365246296E0
1.054747611E2,5.237724088E1,4.898504955E0,3.726154438E0,1.664509275E0,1.483640594E2,4.744365129E0,3.363857392E0
1.064747643E2,5.237722636E1,4.898515501E0,4.025945614E0,1.646024423E0,1.510021460E2,4.752018194E0,3.353037446E0
1.074747690E2,5.237721452E1,4.898530987E0,4.167074536E0,1.637841013E0,1.492296331E2,4.754314536E0,3.349780639E0
1.084747722E2,5.237720286E1,4.898544106E0,4.287935685E0,1.651765625E0,1.482996877E2,4.756341729E0,3.346901610E0
1.094747764E2,5.237718809E1,4.898550496E0,3.880980320E0,1.668350454E0,1.496151145E2,4.761853101E0,3.339055567E0
1.104747808E2,5.237717980E1,4.898570811E0,3.404864640E0,1.646539679E0,1.450771975E2,4.768732234E0,3.329223620E0
1.114747849E2,5.237716526E1,4.898582540E0,3.407529538E0,1.648649093E0,1.480981081E2,4.776682858E0,3.317806189E0
1.124747885E2,5.237715458E1,4.898597612E0,3.748437526E0,1.643268791E0,1.514209647E2,4.761374583E0,3.339737881E0
1.134747933E2,5.237713859E1,4.898604165E0,3.903584836E0,1.649770560E0,1.573331325E2,4.752119828E0,3.352893404E0
1.144747980E2,5.237713152E1,4.898598976E0,3.801407020E0,1.179076129E0,1.664838107E2,4.741183740E0,3.368339914E0
1.154748011E2,5.237712053E1,4.898598943E0,3.379866059E0,1.354595323E0,1.699768103E2,4.756734902E0,3.346342795E0
1.164748054E2,5.237710831E1,4.898584072E0,3.890700335E0,1.335349790E0,1.801808412E2,4.780353337E0,3.312515511E0
1.174748092E2,5.237709468E1,4.898589470E0,3.882299152E0,1.451519070E0,1.747648758E2,4.794724256E0,3.291679866E0
1.184748136E2,5.237708857E1,4.898611828E0,4.087469495E0,1.297422527E0,1.621962715E2,4.803983708E0,3.278151547E0
1.194748170E2,5.237707797E1,4.898625814E0,4.673166548E0,1.206206416E0,1.552112553E2,4.810551045E0,3.268506643E0
1.204748217E2,5.237707147E1,4.898644326E0,4.564834345E0,1.133027394E0,1.458247810E2,4.846303574E0,3.215257175E0
1.214748249E2,5.237705641E1,4.898658004E0,5.011340478E0,1.179582091E0,1.486486690E2,4.820697415E0,3.253523239E0
1.224748300E2,5.237704586E1,4.898668944E0,4.315371326E0,1.160318707E0,1.499464161E2,4.843675747E0,3.219214545E0
1.234748336E2,5.237704153E1,4.898674033E0,1.704748793E0,7.423306158E-1,1.498524436E2,4.881246181E0,3.161957108E0
1.244748378E2,5.237703229E1,4.898678997E0,1.315513916E0,7.180926332E-1,1.526482886E2,4.894124415E0,3.141987149E0
