"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.019925402E2,5.237609333E1,4.835905000E0,1.113024093E0,2.230806112E0,1.307700043E2,1.899999976E0,1.130000019E1
1.029925402E2,5.237608833E1,4.835931667E0,1.713032576E0,2.222570658E0,1.296699982E2,1.899999976E0,1.150000000E1
1.039925402E2,5.237608833E1,4.835946667E0,2.313041287E0,2.161833286E0,1.242699966E2,2.000000000E0,1.150000000E1
1.049925402E2,5.237610000E1,4.835966667E0,3.113069241E0,1.997636914E0,9.479000092E1,2.099999905E0,1.169999981E1
1.059925402E2,5.237611333E1,4.835978333E0,3.913094690E0,1.886456966E0,9.013999939E1,2.200000048E0,1.180000019E1
1.069925402E2,5.237611500E1,4.835980000E0,4.413097992E0,1.797924757E0,1.040000000E2,2.200000048E0,1.210000038E1
1.079925402E2,5.237611000E1,4.836013333E0,4.513110347E0,1.716083884E0,1.040000000E2,2.099999905E0,1.230000019E1
1.089925402E2,5.237611333E1,4.835991667E0,4.713102433E0,1.564240813E0,1.040000000E2,2.099999905E0,1.260000038E1
1.099925402E2,5.237611000E1,4.836011667E0,4.913109379E0,1.330042243E0,1.040000000E2,2.099999905E0,1.269999981E1
1.109925402E2,5.237611500E1,4.836025000E0,5.213124125E0,1.049003839E0,9.548999786E1,2.099999905E0,1.300000000E1
1.119925402E2,5.237611833E1,4.836033333E0,5.413133633E0,8.595861197E-1,8.559999847E1,2.200000048E0,1.319999981E1
1.129925402E2,5.237614000E1,4.836100000E0,5.513202693E0,7.118608356E-1,6.758999634E1,2.200000048E0,1.350000000E1
1.139925402E2,5.237614833E1,4.836116667E0,5.713224044E0,6.331083179E-1,6.216999817E1,2.200000048E0,1.369999981E1
