"Time (s)","Distance (cm)"
1.707476916E2,0.000000000E0
1.711476816E2,5.000000000E0
1.717476785E2,0.000000000E0
1.723476908E2,5.000000000E0
1.729476726E2,0.000000000E0
1.735476704E2,5.000000000E0
1.741477089E2,0.000000000E0
1.747476853E2,5.000000000E0
1.754477345E2,0.000000000E0
1.760476717E2,5.000000000E0
1.766477305E2,0.000000000E0
1.770476745E2,5.000000000E0
1.776477724E2,0.000000000E0
1.782476871E2,5.000000000E0
1.788476935E2,0.000000000E0
1.794476950E2,5.000000000E0
1.813476929E2,0.000000000E0
1.819476647E2,5.000000000E0
1.825476776E2,0.000000000E0
1.831476788E2,5.000000000E0
1.837476884E2,0.000000000E0
1.841476838E2,5.000000000E0
1.847476887E2,0.000000000E0
1.853477443E2,5.000000000E0
1.858476923E2,0.000000000E0
1.864478765E2,5.000000000E0
1.870476782E2,0.000000000E0
1.876477373E2,5.000000000E0
1.880476739E2,0.000000000E0
1.886476791E2,5.000000000E0
1.890477391E2,0.000000000E0
1.896476761E2,5.000000000E0
1.902478104E2,0.000000000E0
1.909476686E2,5.000000000E0
1.913478791E2,0.000000000E0
1.919476674E2,5.000000000E0
1.925476815E2,0.000000000E0
1.929476966E2,5.000000000E0
1.935476342E2,0.000000000E0
1.939476687E2,5.000000000E0
1.947477215E2,0.000000000E0
1.951476794E2,5.000000000E0
1.957478745E2,0.000000000E0
1.964476910E2,5.000000000E0
1.968476926E2,0.000000000E0
1.974476641E2,5.000000000E0
1.980476828E2,0.000000000E0
1.984476874E2,5.000000000E0
1.990476760E2,0.000000000E0
1.996476869E2,5.000000000E0
2.002476933E2,0.000000000E0
2.008478456E2,5.000000000E0
2.012476849E2,0.000000000E0
2.019478208E2,5.000000000E0
2.025476819E2,0.000000000E0
2.029476668E2,5.000000000E0
2.035476809E2,0.000000000E0
2.041476761E2,5.000000000E0
2.047476708E2,0.000000000E0
2.051476788E2,5.000000000E0
2.057478791E2,0.000000000E0
2.061476795E2,5.000000000E0
2.068476908E2,0.000000000E0
2.074476968E2,5.000000000E0
2.080476816E2,0.000000000E0
2.084477103E2,5.000000000E0
2.090476826E2,0.000000000E0
2.096477218E2,5.000000000E0
2.102476942E2,0.000000000E0
2.106478606E2,5.000000000E0
2.112476936E2,0.000000000E0
2.118476905E2,5.000000000E0
2.125476690E2,0.000000000E0
2.129476671E2,5.000000000E0
2.135476807E2,0.000000000E0
2.141476821E2,5.000000000E0
2.147476934E2,0.000000000E0
2.151476760E2,5.000000000E0
2.157478958E2,0.000000000E0
2.163476908E2,5.000000000E0
2.169477726E2,0.000000000E0
2.174476635E2,5.000000000E0
2.180476809E2,0.000000000E0
2.186476788E2,5.000000000E0
2.192476924E2,0.000000000E0
2.198476934E2,5.000000000E0
2.204476750E2,0.000000000E0
2.208477147E2,5.000000000E0
2.214476985E2,0.000000000E0
2.220477404E2,5.000000000E0
2.224476650E2,0.000000000E0
2.231478714E2,5.000000000E0
2.237476941E2,0.000000000E0
2.243478724E2,5.000000000E0
2.247476840E2,0.000000000E0
2.253476912E2,5.000000000E0
2.259477049E2,0.000000000E0
2.265476725E2,5.000000000E0
2.271477365E2,0.000000000E0
2.275476705E2,5.000000000E0
2.282478791E2,0.000000000E0
2.288476918E2,5.000000000E0
2.294479115E2,0.000000000E0
2.298476884E2,5.000000000E0
2.304476760E2,0.000000000E0
2.310476724E2,5.000000000E0
2.316476868E2,0.000000000E0
2.322476862E2,5.000000000E0
2.328476988E2,0.000000000E0
2.332478163E2,5.000000000E0
2.339476938E2,0.000000000E0
2.343477677E2,5.000000000E0
2.349476707E2,0.000000000E0
2.355478234E2,5.000000000E0
2.361476880E2,0.000000000E0
2.365476717E2,5.000000000E0
2.371476443E2,0.000000000E0
2.377476877E2,5.000000000E0
2.381478514E2,0.000000000E0
2.388476908E2,5.000000000E0
2.394478188E2,0.000000000E0
2.398476914E2,5.000000000E0
2.404477089E2,0.000000000E0
2.410476753E2,5.000000000E0
2.416476874E2,0.000000000E0
2.420477193E2,5.000000000E0
2.426476818E2,0.000000000E0
2.430477480E2,5.000000000E0
2.436476892E2,0.000000000E0
2.441476785E2,5.000000000E0
2.447476935E2,0.000000000E0
2.453476924E2,5.000000000E0
2.459476744E2,0.000000000E0
2.463476924E2,5.000000000E0
2.469478548E2,0.000000000E0
2.473476917E2,5.000000000E0
2.479476737E2,0.000000000E0
2.483477121E2,5.000000000E0
2.491476801E2,0.000000000E0
2.496476791E2,5.000000000E0
2.502476930E2,0.000000000E0
2.508476730E2,5.000000000E0
2.512476856E2,0.000000000E0
2.518477735E2,5.000000000E0
2.524476742E2,0.000000000E0
2.528476915E2,5.000000000E0
2.534476760E2,0.000000000E0
2.540476714E2,5.000000000E0
2.547476819E2,0.000000000E0
2.551476748E2,5.000000000E0
2.557477440E2,0.000000000E0
2.561476778E2,5.000000000E0
2.567477957E2,0.000000000E0
2.573476917E2,5.000000000E0
2.579476747E2,0.000000000E0
2.583476207E2,5.000000000E0
2.589476753E2,0.000000000E0
2.593478018E2,5.000000000E0
2.600476763E2,0.000000000E0
2.606477714E2,5.000000000E0
2.610476754E2,0.000000000E0
2.616476766E2,5.000000000E0
2.622476903E2,0.000000000E0
2.628476902E2,5.000000000E0
2.632476886E2,0.000000000E0
2.638476926E2,5.000000000E0
2.642478310E2,0.000000000E0
2.648476927E2,5.000000000E0
2.653476927E2,0.000000000E0
2.659476619E2,5.000000000E0
2.665476809E2,0.000000000E0
2.669476656E2,5.000000000E0
2.675476821E2,0.000000000E0
2.681478448E2,5.000000000E0
2.685476718E2,0.000000000E0
2.691476767E2,5.000000000E0
2.697476912E2,0.000000000E0
2.703476930E2,5.000000000E0
2.708476904E2,0.000000000E0
2.714476692E2,5.000000000E0
2.718478456E2,0.000000000E0
2.724476997E2,5.000000000E0
2.730478656E2,0.000000000E0
2.736476785E2,5.000000000E0
2.740476714E2,0.000000000E0
