"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.380008083E0,1.325985640E-1,1.495180964E0,-1.036402106E0
1.390015083E0,2.651049495E-1,1.267111301E0,-1.422693372E0
1.400021958E0,3.688001931E-1,1.097184539E0,-1.821779490E0
1.410027958E0,4.618073702E-1,1.048583508E0,-2.183707476E0
1.420034958E0,4.928962886E-1,9.803919792E-1,-2.262828588E0
1.430040958E0,3.606621325E-1,9.096460938E-1,-2.107122898E0
1.440047958E0,9.827954322E-2,9.087387919E-1,-1.958387733E0
1.450054958E0,-2.413058579E-1,1.024572849E0,-1.942526579E0
1.460060958E0,-4.910264909E-1,1.259014845E0,-1.950812459E0
1.470067958E0,-6.141038537E-1,1.503402472E0,-2.122378111E0
1.480073958E0,-6.969878078E-1,1.781650901E0,-2.529375792E0
1.490080958E0,-7.411028147E-1,2.076162338E0,-3.049357176E0
1.500087958E0,-7.149609327E-1,2.143912792E0,-3.340139151E0
1.510093958E0,-6.841503382E-1,1.888478160E0,-3.318628311E0
1.520100958E0,-6.516062617E-1,1.347208261E0,-3.048175812E0
1.530106958E0,-6.075619459E-1,7.397198677E-1,-2.690423250E0
1.540113958E0,-5.103227496E-1,1.658757627E-1,-2.282442808E0
1.550119958E0,-3.521599174E-1,-3.044283986E-1,-1.843395948E0
1.560126958E0,-2.622968554E-1,-6.769268513E-1,-1.467473984E0
1.570133958E0,-2.973904312E-1,-9.698888063E-1,-1.289674520E0
1.580139958E0,-4.464470148E-1,-1.117510796E0,-1.307483435E0
1.590146958E0,-6.577348709E-1,-1.166825891E0,-1.416640401E0
1.600152958E0,-9.189984202E-1,-1.411721110E0,-1.549336076E0
1.610159958E0,-1.005854249E0,-1.526155591E0,-1.703887701E0
1.620166958E0,-9.599373341E-1,-1.490980983E0,-1.931076407E0
1.630172958E0,-8.231750131E-1,-1.299020052E0,-2.243073940E0
1.640179958E0,-7.288581133E-1,-1.057600021E0,-2.656205177E0
1.650185958E0,-7.243235707E-1,-9.030107856E-1,-3.025759935E0
1.660192958E0,-7.518313527E-1,-8.800053000E-1,-3.080591202E0
1.670199958E0,-8.121566772E-1,-1.011049390E0,-2.919005632E0
1.680205958E0,-9.224291444E-1,-1.262800694E0,-2.743775606E0
1.690212958E0,-1.038245320E0,-1.530713201E0,-2.594338894E0
1.700218958E0,-1.110528588E0,-1.676693320E0,-2.475918293E0
1.710225958E0,-1.132562041E0,-1.742980242E0,-2.456877708E0
1.720232958E0,-1.124169588E0,-1.783998489E0,-2.506988764E0
1.730238958E0,-1.104946852E0,-1.881611109E0,-2.602603912E0
1.740245958E0,-1.050208569E0,-2.060647964E0,-2.674828529E0
1.750251958E0,-9.057462215E-1,-2.386109114E0,-2.633473635E0
1.760258958E0,-4.800207019E-1,-2.923811674E0,-2.407339573E0
1.770265958E0,1.654706240E0,-3.407550812E0,-1.921194196E0
1.780271958E0,3.359892607E0,-3.564884424E0,-1.573235393E0
1.790278958E0,3.686222076E0,-3.529906750E0,-1.516495824E0
1.800284958E0,3.555332422E0,-3.174378395E0,-1.601755381E0
1.810291958E0,3.487558603E0,-2.641512394E0,-1.745932102E0
1.820298958E0,3.563488007E0,-1.971781850E0,-1.847235799E0
1.830304958E0,3.653259516E0,-1.265027285E0,-1.813376665E0
1.840311958E0,3.627963781E0,-5.812107921E-1,-1.626039505E0
1.850317958E0,3.465503931E0,1.535357237E-1,-1.342889667E0
1.860324958E0,3.175074816E0,9.535863400E-1,-1.040507436E0
1.870330958E0,2.754024982E0,1.753585815E0,-7.971941829E-1
1.880337958E0,2.234261751E0,2.557852030E0,-6.215065122E-1
1.890344958E0,1.728069305E0,3.199857950E0,-5.263622403E-1
1.900350958E0,1.458587050E0,3.716959000E0,-5.034481287E-1
1.910357958E0,1.516290188E0,3.918992281E0,-5.281270742E-1
1.920363958E0,1.788132310E0,3.559684277E0,-5.291053057E-1
1.930370958E0,2.122335672E0,2.663375378E0,-4.863815010E-1
1.940377958E0,2.312212229E0,1.557152748E0,-4.420244098E-1
1.950383958E0,2.277545929E0,7.026970983E-1,-3.263247609E-1
1.960390958E0,2.040980816E0,1.663604230E-1,-1.455464810E-1
1.970396958E0,1.679754496E0,-2.065865695E-1,7.606725395E-2
1.980403958E0,1.346880674E0,-4.829297364E-1,3.332985044E-1
1.990410958E0,1.120806575E0,-7.306093574E-1,6.191659570E-1
2.000416958E0,1.049492717E0,-9.022412896E-1,8.584040999E-1
2.010423958E0,1.188303709E0,-8.615539670E-1,9.115504622E-1
2.020429958E0,1.414835691E0,-5.479286313E-1,8.118070960E-1
2.030436958E0,1.548837662E0,-1.550780088E-1,6.065500975E-1
2.040443958E0,1.596904278E0,4.575122893E-2,3.652642071E-1
2.050449958E0,1.578725338E0,-3.638417274E-2,1.544502974E-1
2.060456958E0,1.541422963E0,-2.484487593E-1,-1.128700189E-2
2.070462958E0,1.502977133E0,-4.650855958E-1,-6.385310739E-2
2.080469958E0,1.510555983E0,-5.538663268E-1,-7.922673970E-2
2.090476958E0,1.546028852E0,-4.866501689E-1,-9.382684529E-2
2.100482958E0,1.577417850E0,-3.646225333E-1,-8.954076469E-2
2.110489958E0,1.564426541E0,-3.731137812E-1,-9.496981651E-2
2.120495958E0,1.540837049E0,-4.760199189E-1,-1.147946566E-1
2.130502958E0,1.514151335E0,-5.956072211E-1,-1.709916145E-1
2.140509958E0,1.463120103E0,-7.075127363E-1,-2.358787358E-1
2.150515958E0,1.333805680E0,-8.727888465E-1,-2.805243433E-1
2.160522958E0,1.123110294E0,-1.108181596E0,-2.798457742E-1
2.170528958E0,8.142940998E-1,-1.377695799E0,-2.343557328E-1
2.180535958E0,4.096654058E-1,-1.623213053E0,-1.882271171E-1
