"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.212400083E0,-4.506528625E0,-6.476132812E0,5.656736755E-1
1.222406083E0,-4.796026611E0,-7.110064545E0,8.382568359E-1
1.232413083E0,-5.452561340E0,-7.689808960E0,4.266128540E-1
1.242420083E0,-6.188580780E0,-8.622519379E0,-4.418811035E-1
1.252426083E0,-6.827601929E0,-9.656718750E0,-9.509724426E-1
1.262433083E0,-7.448361053E0,-1.010024643E1,-1.027613068E0
1.272439083E0,-8.061635742E0,-1.012329849E1,-7.596702576E-1
1.282446083E0,-8.703650665E0,-9.560768280E0,-5.848338318E-1
1.292452083E0,-8.809929657E0,-8.752748566E0,-2.802172852E-1
1.302459083E0,-8.479866028E0,-7.556436310E0,6.759942627E-1
1.312466083E0,-7.354356537E0,-6.203549652E0,1.460512848E0
1.322472083E0,-5.802982635E0,-5.162614288E0,1.522483978E0
1.332479083E0,-4.402644653E0,-4.461472321E0,1.340013428E0
1.342485083E0,-3.528462524E0,-4.284540253E0,1.542242889E0
1.352492083E0,-3.200045471E0,-4.117936707E0,2.010618896E0
1.362499083E0,-3.285068665E0,-4.051774292E0,2.208058319E0
1.372505083E0,-3.275937653E0,-4.066144409E0,1.951042786E0
1.382512083E0,-3.280727692E0,-3.991749115E0,9.295669556E-1
1.392518083E0,-3.526366882E0,-4.132755890E0,-4.180805969E-1
1.402524958E0,-3.745361481E0,-4.329596558E0,-1.211131439E0
1.412531958E0,-3.946393433E0,-5.480403442E0,-2.168091431E0
1.422537958E0,-4.229155426E0,-6.810986481E0,-2.421215057E0
1.432544958E0,-4.579876099E0,-7.739056549E0,-1.798509979E0
1.442550958E0,-4.653073883E0,-8.519383850E0,-9.190887451E-1
1.452557958E0,-4.379293213E0,-8.679550781E0,-1.776805115E-1
1.462563958E0,-4.184548187E0,-8.668623505E0,3.043171692E-1
1.472570958E0,-3.761677551E0,-8.311017151E0,4.087998962E-1
1.482577958E0,-3.103645935E0,-7.291487274E0,1.969903564E-1
1.492583958E0,-2.530487823E0,-6.143524475E0,-2.423460388E-1
1.502590958E0,-2.788850555E0,-5.617817688E0,-7.093748474E-1
1.512596958E0,-3.654201050E0,-6.278244324E0,-1.303639069E0
1.522603958E0,-4.258494415E0,-7.095544739E0,-1.843715973E0
1.532610958E0,-4.415817261E0,-7.720794525E0,-2.195634155E0
1.542616958E0,-4.292623444E0,-8.481512604E0,-2.207609253E0
1.552623958E0,-4.346361694E0,-9.261091461E0,-2.171234894E0
1.562629958E0,-4.309987335E0,-1.024394760E1,-2.133663025E0
