"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.999252665E1,5.236286217E1,4.927946885E0,2.163286137E0,1.223509330E0,6.439866413E1,4.821750351E0,3.251962575E0
1.009925256E2,5.236285892E1,4.927967531E0,2.232109750E0,1.005556007E0,7.818381500E1,4.816633034E0,3.259537275E0
1.019925263E2,5.236286546E1,4.927984645E0,2.352934186E0,9.245678338E-1,7.111226355E1,4.806235952E0,3.274848547E0
1.029925258E2,5.236287453E1,4.928002097E0,2.044041737E0,1.142032360E0,6.601715058E1,4.804422789E0,3.277508001E0
1.039925255E2,5.236287619E1,4.928018368E0,1.779192894E0,9.964621987E-1,6.782368146E1,4.804052949E0,3.278050075E0
1.049925257E2,5.236287970E1,4.928042863E0,2.179247812E0,1.121178231E0,6.637817990E1,4.800789756E0,3.282827250E0
1.059925258E2,5.236288174E1,4.928062245E0,2.326186871E0,9.953568216E-1,7.100790639E1,4.804090908E0,3.277994445E0
1.069925257E2,5.236288806E1,4.928093917E0,2.264039396E0,1.300155160E0,7.021804329E1,4.809269643E0,3.270391801E0
1.079925261E2,5.236288744E1,4.928103554E0,3.010464782E0,1.115197106E0,7.431963072E1,4.802799642E0,3.279886069E0
1.089925252E2,5.236287941E1,4.928117822E0,2.493627348E0,9.126192566E-1,8.310169844E1,4.801851548E0,3.281273952E0
1.099925262E2,5.236288564E1,4.928137019E0,2.282072927E0,1.065693531E0,7.338751826E1,4.802469546E0,3.280369384E0
1.109925246E2,5.236289044E1,4.928157119E0,2.308002232E0,1.257776137E0,7.185679785E1,4.803735860E0,3.278514727E0
1.119925250E2,5.236289723E1,4.928175244E0,2.636523060E0,1.250315881E0,7.094347419E1,4.804324417E0,3.277652198E0
1.129925253E2,5.236289752E1,4.928187268E0,1.948498689E0,8.818572191E-1,7.139104072E1,4.811004142E0,3.267839681E0
1.139925246E2,5.236290795E1,4.928224538E0,1.936747669E0,1.425991492E0,6.289843867E1,4.812122427E0,3.266192704E0
1.149925255E2,5.236290743E1,4.928246864E0,1.999109932E0,1.200919473E0,6.935336519E1,4.809056882E0,3.270704654E0
1.159925252E2,5.236290557E1,4.928274125E0,2.422537629E0,1.112554802E0,7.508750671E1,4.809448823E0,3.270128293E0
1.169925261E2,5.236290671E1,4.928291460E0,2.437506012E0,1.064634986E0,7.677307105E1,4.811470002E0,3.267153723E0
1.179925256E2,5.236290717E1,4.928326703E0,2.508268012E0,1.297574631E0,7.796171410E1,4.813652167E0,3.263937783E0
1.189925257E2,5.236290979E1,4.928369054E0,2.308586777E0,1.623203259E0,7.639504612E1,4.814156577E0,3.263193755E0
1.199925255E2,5.236290960E1,4.928382063E0,2.370856629E0,1.157969908E0,6.799249708E1,4.809773138E0,3.269651264E0
1.209925247E2,5.236291400E1,4.928407808E0,2.029104713E0,1.210562772E0,6.537009600E1,4.807476135E0,3.273027687E0
1.219925252E2,5.236291364E1,4.928431972E0,2.147886917E0,1.139315154E0,7.006074865E1,4.810502080E0,3.268578708E0
1.229925252E2,5.236288941E1,4.928471977E0,2.005088119E0,1.437989416E0,9.501799994E1,4.804561595E0,3.277304519E0
1.239925247E2,5.236288816E1,4.928488749E0,2.443493229E0,1.327346048E0,9.349147700E1,4.801002891E0,3.282515541E0
1.249925249E2,5.236290239E1,4.928506127E0,2.472464837E0,1.342663822E0,7.697748576E1,4.790293790E0,3.298124079E0
1.259925255E2,5.236291171E1,4.928520948E0,2.042638334E0,1.241323236E0,7.144637532E1,4.804328887E0,3.277645646E0
1.269925246E2,5.236291693E1,4.928530160E0,1.739694841E0,1.165151490E0,6.577584829E1,4.791812928E0,3.295916548E0
1.279925257E2,5.236292161E1,4.928547739E0,1.772979310E0,1.089385834E0,6.921213141E1,4.789398402E0,3.299424189E0
1.289925249E2,5.236292646E1,4.928558458E0,2.039687842E0,8.760229394E-1,6.508088176E1,4.796100507E0,3.289674294E0
1.299925246E2,5.236292287E1,4.928575858E0,2.009665833E0,8.454140263E-1,7.533022194E1,4.791166340E0,3.296856402E0
1.309925249E2,5.236292572E1,4.928611545E0,2.533477434E0,1.249482296E0,7.617165621E1,4.788878923E0,3.300178131E0
1.319925249E2,5.236292914E1,4.928632079E0,2.110853535E0,1.190591272E0,7.613264866E1,4.796656485E0,3.288863572E0
1.329925250E2,5.236292369E1,4.928649018E0,2.167542323E0,1.079285412E0,8.237615603E1,4.793841029E0,3.292966021E0
1.339925337E2,5.236292008E1,4.928678719E0,2.539514159E0,1.197146454E0,8.610324618E1,4.788489055E0,3.300743796E0
1.349925334E2,5.236292502E1,4.928699230E0,2.865442104E0,1.266729405E0,8.266516213E1,4.787185609E0,3.302633945E0
1.359925308E2,5.236292434E1,4.928712295E0,2.457747224E0,1.028080770E0,7.902125175E1,4.781397797E0,3.311007722E0
1.369925219E2,5.236292823E1,4.928739022E0,2.875949670E0,1.263228880E0,7.840117627E1,4.780573253E0,3.312198124E0
1.379925214E2,5.236293152E1,4.928768094E0,3.125682231E0,1.565763976E0,7.471480934E1,4.781934199E0,3.310232975E0
1.389925188E2,5.236293329E1,4.928780764E0,3.150720986E0,1.210823482E0,7.017985951E1,4.787741942E0,3.301827393E0
1.399925137E2,5.236294390E1,4.928793715E0,2.860774458E0,1.119722509E0,6.448748819E1,4.794452658E0,3.292075447E0
1.409925131E2,5.236295248E1,4.928802500E0,2.142598124E0,1.043547830E0,6.432131076E1,4.798329351E0,3.286422442E0
1.419925116E2,5.236296061E1,4.928802654E0,2.562355828E0,7.497235974E-1,5.200917294E1,4.810208225E0,3.269011145E0
1.429925114E2,5.236296496E1,4.928833070E0,2.037925517E0,1.140582033E0,6.598116266E1,4.816489100E0,3.259749957E0
1.439925120E2,5.236296106E1,4.928852904E0,2.922139882E0,1.138566406E0,7.616346512E1,4.807390498E0,3.273153470E0
1.449925138E2,5.236296414E1,4.928876509E0,2.840637572E0,1.333982958E0,7.335554142E1,4.800466957E0,3.283299260E0
1.459925160E2,5.236296411E1,4.928899152E0,2.796150665E0,1.261574839E0,7.358204031E1,4.798151750E0,3.286681734E0
1.469925163E2,5.236295618E1,4.928929829E0,3.245074483E0,1.251135287E0,8.500326407E1,4.792844751E0,3.294415915E0
1.479925148E2,5.236295697E1,4.928956887E0,3.594125072E0,1.338308707E0,7.979525019E1,4.789743901E0,3.298922612E0
1.489925123E2,5.236295881E1,4.928968198E0,3.302796152E0,1.003369546E0,7.604233515E1,4.789938828E0,3.298639577E0
1.499925084E2,5.236296094E1,4.928986356E0,3.194866068E0,9.766004440E-1,6.995209363E1,4.784362878E0,3.306721774E0
1.509925058E2,5.236296802E1,4.929002477E0,2.965359218E0,1.196761590E0,6.652772518E1,4.778620811E0,3.315014356E0
1.519925034E2,5.236297286E1,4.929019202E0,2.824359937E0,1.252173180E0,6.520976407E1,4.783698340E0,3.307683060E0
1.529925008E2,5.236297987E1,4.929043448E0,2.882641121E0,1.321655127E0,6.517543770E1,4.790557796E0,3.297740596E0
1.539924989E2,5.236298590E1,4.929065807E0,2.378510222E0,1.352742334E0,6.600251215E1,4.794029626E0,3.292691449E0
1.549924966E2,5.236299405E1,4.929090361E0,2.897376706E0,1.467003511E0,6.876031678E1,4.794305018E0,3.292290453E0
1.559924937E2,5.236299796E1,4.929098851E0,2.137189372E0,1.202214499E0,7.163472072E1,4.791965430E0,3.295694820E0
1.569924916E2,5.236298942E1,4.929123295E0,2.973455183E0,9.610230231E-1,7.544054041E1,4.793458559E0,3.293522745E0
1.579924901E2,5.236299707E1,4.929141804E0,2.993119352E0,1.253121698E0,7.070896604E1,4.788354444E0,3.300939071E0
1.589924884E2,5.236299881E1,4.929163059E0,2.693516906E0,1.231069406E0,7.434177241E1,4.786997626E0,3.302906411E0
1.599924867E2,5.236300827E1,4.929176679E0,2.958480428E0,1.195686810E0,6.933125510E1,4.791008280E0,3.297086091E0
1.609924847E2,5.236301300E1,4.929185966E0,2.673025005E0,9.904856610E-1,7.222348362E1,4.793036212E0,3.294137353E0
1.619924837E2,5.236301867E1,4.929206278E0,2.780257873E0,1.061686033E0,6.794565913E1,4.793663996E0,3.293223728E0
1.629924828E2,5.236301156E1,4.929235551E0,2.446049406E0,1.000483332E0,7.285057601E1,4.794058023E0,3.292650103E0
1.639924804E2,5.236301413E1,4.929259307E0,3.135635101E0,1.176389967E0,7.097523253E1,4.795719240E0,3.290230083E0
1.649924797E2,5.236301724E1,4.929276014E0,3.487963970E0,1.141987023E0,7.040435102E1,4.800809307E0,3.282798658E0
1.659924785E2,5.236302445E1,4.929285782E0,2.822702073E0,1.058169135E0,6.432097454E1,4.790808246E0,3.297376743E0
1.669924781E2,5.236302113E1,4.929310174E0,3.320140958E0,1.245045965E0,7.154013813E1,4.788758191E0,3.300353317E0
1.679924768E2,5.236302211E1,4.929339862E0,3.479502618E0,1.456535374E0,7.322344058E1,4.787711975E0,3.301870846E0
1.689924761E2,5.236302439E1,4.929356618E0,3.012990332E0,1.169882885E0,7.519910932E1,4.788298580E0,3.301020106E0
1.699924746E2,5.236302781E1,4.929384909E0,3.535730563E0,1.425940065E0,7.330500240E1,4.785086052E0,3.305675197E0
1.709924743E2,5.236302031E1,4.929417620E0,3.601287274E0,1.503888704E0,8.132952791E1,4.785018704E0,3.305772683E0
1.719924732E2,5.236301324E1,4.929441212E0,3.552630113E0,1.137189879E0,8.772795771E1,4.776733725E0,3.317732953E0
1.729924726E2,5.236301917E1,4.929457382E0,3.647657734E0,1.250926492E0,8.380191921E1,4.771495965E0,3.325261386E0
1.739924713E2,5.236302626E1,4.929470447E0,3.692145497E0,1.279481537E0,7.512523217E1,4.767695384E0,3.330708296E0
1.749924710E2,5.236302783E1,4.929478267E0,4.128124168E0,1.078590282E0,7.320372933E1,4.767647778E0,3.330776440E0
1.759924699E2,5.236302469E1,4.929493136E0,3.440864002E0,8.828035695E-1,7.643167680E1,4.764220826E0,3.335676386E0
1.769924700E2,5.236303153E1,4.929513518E0,2.974148871E0,1.022707620E0,7.141996469E1,4.759275136E0,3.342729007E0
1.779924697E2,5.236303948E1,4.929528312E0,3.281371826E0,1.066148483E0,6.856989404E1,4.765444529E0,3.333927935E0
1.789924698E2,5.236305283E1,4.929539985E0,3.163443945E0,1.167227311E0,6.019047261E1,4.769112030E0,3.328679540E0
1.799924692E2,5.236305892E1,4.929554562E0,3.360384645E0,1.185494309E0,6.033941814E1,4.777455164E0,3.316694016E0
1.809924674E2,5.236306292E1,4.929565483E0,3.364951566E0,1.048274205E0,6.553111537E1,4.778000451E0,3.315908431E0
1.819924687E2,5.236307097E1,4.929569923E0,2.179833211E0,9.068617459E-1,6.134830939E1,4.780298972E0,3.312593965E0
1.829924672E2,5.236308461E1,4.929580215E0,2.350282361E0,1.018788784E0,5.407454844E1,4.784493245E0,3.306533143E0
1.839924668E2,5.236309547E1,4.929602495E0,2.836766005E0,1.152390117E0,5.708847128E1,4.788637279E0,3.300528752E0
1.849924667E2,5.236310993E1,4.929609843E0,2.765664768E0,1.195214973E0,5.224476128E1,4.788384059E0,3.300896111E0
1.859924666E2,5.236311849E1,4.929635785E0,3.324719210E0,1.395741301E0,5.562327196E1,4.802670953E0,3.280074504E0
1.869924659E2,5.236312675E1,4.929641474E0,2.125230562E0,1.037887401E0,5.762432431E1,4.803238185E0,3.279243811E0
1.879924659E2,5.236313396E1,4.929665938E0,2.872621401E0,1.138501497E0,6.222675549E1,4.800424437E0,3.283361427E0
1.889924650E2,5.236313792E1,4.929678312E0,2.609940481E0,9.225311390E-1,6.362715796E1,4.796556827E0,3.289008914E0
1.899924653E2,5.236314510E1,4.929707600E0,2.707591283E0,9.782566360E-1,6.613488299E1,4.797269525E0,3.287969303E0
1.909924642E2,5.236315581E1,4.929725341E0,2.967334056E0,1.090326723E0,6.432794664E1,4.795911406E0,3.289949971E0
1.919924643E2,5.236316479E1,4.929747021E0,1.855538876E0,1.106722648E0,6.614806279E1,4.802604349E0,3.280172022E0
1.929924666E2,5.236316482E1,4.929783061E0,2.630627722E0,1.029143298E0,7.453074799E1,4.791680674E0,3.296108820E0
1.939924641E2,5.236316101E1,4.929811689E0,2.776579927E0,1.124454115E0,7.571359719E1,4.786397284E0,3.303776335E0
1.949924643E2,5.236315361E1,4.929844174E0,3.414976957E0,1.211053368E0,7.896374599E1,4.776625558E0,3.317888683E0
1.959924642E2,5.236315130E1,4.929849307E0,3.293431744E0,8.392048856E-1,7.420707558E1,4.776064083E0,3.318696869E0
1.969924635E2,5.236314576E1,4.929878031E0,3.524668749E0,8.408665288E-1,7.782237962E1,4.775891219E0,3.318945630E0
1.979924638E2,5.236315139E1,4.929894287E0,3.871523717E0,1.082589132E0,6.825942630E1,4.771310996E0,3.325526787E0
1.989924635E2,5.236316107E1,4.929918522E0,3.360415895E0,1.550917749E0,6.669250545E1,4.768091064E0,3.330141835E0
1.999924623E2,5.236317135E1,4.929923875E0,3.334266441E0,1.140073750E0,5.787528761E1,4.774127951E0,3.321481498E0
2.009924629E2,5.236316567E1,4.929955654E0,3.119050626E0,1.215655874E0,6.894966118E1,4.778101068E0,3.315763444E0
2.019924632E2,5.236316811E1,4.929982854E0,3.444621470E0,1.233950639E0,7.035201212E1,4.777398855E0,3.316775123E0
2.029924630E2,5.236316407E1,4.930018450E0,3.669271836E0,1.378778864E0,8.086821281E1,4.768148141E0,3.330060110E0
