"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.555900333E0,-3.065103149E1,2.897622681E1,-1.516685486E0
1.565907333E0,-3.005896759E1,2.932591248E1,-1.965553284E0
1.575914333E0,-2.971856689E1,2.958818817E1,-2.687881470E0
1.585921333E0,-2.918616486E1,3.014319611E1,-2.817489624E0
1.595928333E0,-2.904077911E1,3.015965271E1,-3.001121521E0
1.605934333E0,-2.898152161E1,3.015354156E1,-3.340812683E0
1.615941333E0,-2.875802612E1,3.038452911E1,-3.169601440E0
1.625948333E0,-2.877004242E1,3.032288361E1,-3.424476624E0
1.635955333E0,-2.864489746E1,3.067872620E1,-3.198600769E0
1.645962333E0,-2.882221985E1,3.066753387E1,-3.281227112E0
1.655968333E0,-2.885366058E1,3.058298492E1,-3.090080261E0
1.665975333E0,-2.884896088E1,3.069363403E1,-3.049034119E0
1.675982333E0,-2.887014008E1,3.085166168E1,-3.277542114E0
1.685989333E0,-2.867192078E1,3.076168823E1,-2.904731750E0
1.695996333E0,-2.868451691E1,3.048946381E1,-2.556472778E0
1.706002333E0,-2.916294098E1,3.033271790E1,-2.240921021E0
1.716009333E0,-2.923154449E1,3.025317383E1,-1.994316101E0
1.726016333E0,-2.942765808E1,3.006968689E1,-2.043891907E0
1.736023333E0,-2.933623505E1,2.992742920E1,-1.564262390E0
1.746030333E0,-2.971401215E1,2.993680573E1,-1.204170227E0
1.756037333E0,-2.978015900E1,2.983594513E1,-1.155128479E0
1.766043333E0,-2.962004089E1,2.971052551E1,-5.639266968E-1
1.776050333E0,-2.996040344E1,2.954632568E1,1.148223877E-1
1.786057333E0,-3.005466461E1,2.926634979E1,5.281372070E-1
1.796064333E0,-3.015122986E1,2.918894958E1,6.369934082E-1
1.806071333E0,-3.019800568E1,2.906845856E1,1.107353210E0
1.816077333E0,-3.001255798E1,2.909546661E1,2.277839661E0
1.826084333E0,-2.976914215E1,2.933276367E1,2.986206055E0
1.836091333E0,-2.978350067E1,2.917477417E1,2.861541748E0
1.846098333E0,-3.011272430E1,2.919239044E1,2.731391907E0
1.856105333E0,-2.993789673E1,2.902219391E1,2.338424683E0
1.866111333E0,-3.006499481E1,2.925392151E1,1.117561340E0
1.876118333E0,-2.987751007E1,2.895541382E1,-3.605651855E-2
1.886125333E0,-3.001998138E1,2.908393097E1,-1.159057617E0
1.896132333E0,-3.009058380E1,2.893177032E1,-2.411201477E0
1.906139333E0,-3.011126709E1,2.889340973E1,-3.745750427E0
1.916146333E0,-2.975156403E1,2.876198578E1,-4.919357300E0
1.926152333E0,-2.976971436E1,2.870472717E1,-6.580146790E0
1.936159333E0,-2.947731018E1,2.857479095E1,-7.613983154E0
1.946166333E0,-2.895825195E1,2.859595490E1,-9.034393311E0
1.956173333E0,-2.843117523E1,2.855838013E1,-1.094992828E1
1.966180333E0,-2.788563538E1,2.849822235E1,-1.230793762E1
1.976187333E0,-2.682740021E1,2.839836121E1,-1.490031433E1
1.986193333E0,-2.649477386E1,2.802984619E1,-1.580020905E1
1.996200333E0,-2.612792206E1,2.756231689E1,-1.679483795E1
2.006207333E0,-2.619714355E1,2.733506775E1,-1.723976898E1
2.016214333E0,-2.625187683E1,2.703970337E1,-1.793675995E1
2.026221333E0,-2.651047516E1,2.653146362E1,-1.823683167E1
2.036227333E0,-2.705307007E1,2.602668762E1,-1.864287567E1
2.046234333E0,-2.742138672E1,2.539488220E1,-1.888201904E1
2.056241333E0,-2.771540833E1,2.509528351E1,-1.856485748E1
2.066248333E0,-2.806598663E1,2.480416870E1,-1.833379364E1
