"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.140961458E0,1.360547423E0,-5.044190213E-2,1.094089746E0
1.150927458E0,1.439812422E0,2.983087488E-2,1.190639853E0
1.160893458E0,1.503674746E0,1.845107228E-1,1.341223001E0
1.170859458E0,1.502609015E0,3.233376741E-1,1.486661553E0
1.180826458E0,1.323296547E0,5.243080854E-1,1.591628909E0
1.190792458E0,9.664738178E-1,5.836755037E-1,1.551579475E0
1.200758458E0,6.841356158E-1,5.825769305E-1,1.414626956E0
1.210724458E0,2.438778132E-1,6.693276167E-1,1.386904240E0
1.220690458E0,-3.186553121E-1,8.154160976E-1,1.324860334E0
1.230657458E0,-9.026740193E-1,1.012443781E0,1.164915800E0
1.240623458E0,-1.420742393E0,1.246577501E0,9.646593928E-1
1.250589458E0,-1.828060746E0,1.444944620E0,7.900376320E-1
1.260555458E0,-2.203890562E0,1.571421504E0,6.257491112E-1
1.270521458E0,-2.594107866E0,1.640796185E0,4.285723269E-1
1.280487458E0,-2.903484821E0,1.649477601E0,2.960718274E-1
1.290454458E0,-3.085349560E0,1.686191916E0,2.555279732E-1
1.300420458E0,-3.189821959E0,1.702906728E0,2.327134758E-1
1.310386458E0,-3.241905212E0,1.703279853E0,2.494832575E-1
1.320352458E0,-3.264401913E0,1.613175035E0,2.960885763E-1
1.330318458E0,-3.254017353E0,1.363308549E0,3.426782489E-1
1.340285458E0,-3.260924101E0,1.069387197E0,3.330826163E-1
1.350251458E0,-3.235396147E0,8.873918653E-1,2.694215178E-1
1.360217458E0,-3.216562510E0,7.207557559E-1,1.113437414E-1
1.370183458E0,-3.189791203E0,7.779100537E-1,-6.896146387E-2
1.380149458E0,-3.079150438E0,1.129334092E0,-2.926243842E-1
1.390115458E0,-2.902064085E0,1.454942465E0,-5.065760612E-1
1.400082458E0,-2.818727970E0,1.618901253E0,-7.450160980E-1
1.410048458E0,-2.805530548E0,1.616984844E0,-8.991416693E-1
1.420014458E0,-2.790541410E0,1.443448663E0,-9.156303406E-1
1.429980458E0,-2.705528021E0,1.269002676E0,-8.606320620E-1
1.439946458E0,-2.512003183E0,1.119917274E0,-6.477565765E-1
1.449913458E0,-2.212301016E0,9.077530503E-1,-3.838848174E-1
1.459879458E0,-1.912799001E0,5.975357890E-1,-2.322928756E-1
1.469845458E0,-1.614297032E0,3.485716283E-1,-1.487549841E-1
1.479811458E0,-1.359631181E0,5.100490898E-2,-2.875027657E-1
1.489777458E0,-1.186928034E0,-1.654074937E-1,-5.980550051E-1
1.499744458E0,-1.059765220E0,-1.906878203E-1,-9.875550866E-1
1.509710458E0,-8.830692768E-1,-9.396246821E-2,-1.272999406E0
1.519676458E0,-5.650004745E-1,-3.843123559E-4,-1.387289762E0
1.529642458E0,-1.799514443E-1,-5.243252963E-2,-1.345770359E0
1.539608458E0,1.987420768E-1,-2.233438194E-1,-1.199858904E0
1.549574458E0,5.969378352E-1,-1.581269801E-1,-1.194785714E0
1.559541458E0,9.497917891E-1,3.073488474E-1,-1.390123248E0
1.569507458E0,1.241196990E0,1.255291343E0,-1.613940597E0
1.579473458E0,1.631274700E0,2.454811573E0,-1.791894317E0
1.589439458E0,2.190182686E0,3.040036201E0,-1.934692383E0
1.599405458E0,2.746378899E0,2.632716894E0,-1.584868550E0
1.609372458E0,3.134505749E0,1.850951672E0,-9.488516450E-1
1.619338458E0,3.449361086E0,1.829549909E0,-6.049805880E-1
1.629304458E0,3.784617662E0,2.824488878E0,-3.664159179E-1
1.639270458E0,3.578767538E0,2.375625372E0,-2.079501152E-1
1.649236458E0,2.783570766E0,6.769899726E-1,-3.151325583E-1
1.659202458E0,1.731973886E0,9.598354995E-2,-6.411727071E-1
1.669169458E0,7.035468817E-1,3.610446453E-1,-8.810112476E-1
1.679135458E0,2.605417073E-1,2.579773962E-1,-7.199837565E-1
1.689101458E0,2.798885405E-1,2.621939778E-2,-2.454270869E-1
1.699067458E0,5.768083334E-1,-2.067806944E-2,3.093472123E-1
1.709033458E0,8.577492833E-1,-4.587795436E-1,7.921440005E-1
1.719000458E0,8.849140406E-1,3.598223627E-1,9.889457226E-1
1.728966458E0,7.598196268E-1,1.261281610E0,6.046223044E-1
1.738932458E0,6.615122557E-1,1.594348550E0,6.204695255E-2
1.748898458E0,7.399516106E-1,1.586833239E0,8.587596565E-2
1.758864458E0,8.130916357E-1,8.980659842E-1,5.634843111E-1
1.768831458E0,7.879574895E-1,2.376302481E-1,1.186328053E0
1.778797458E0,8.146823049E-1,-1.373774558E-1,1.575839043E0
1.788763458E0,8.353948593E-1,-7.591322660E-1,1.763231397E0
1.798729458E0,7.860715389E-1,-1.190154314E0,1.927033067E0
1.808695458E0,5.861706138E-1,-1.364152670E0,2.038092375E0
1.818661458E0,2.452220917E-1,-1.427458644E0,2.042579412E0
1.828628458E0,-1.225612834E-1,-1.400526047E0,1.966056228E0
1.838594458E0,-3.001874685E-1,-1.587527633E0,1.760347486E0
1.848560458E0,-2.260522842E-1,-1.689129472E0,1.440068245E0
1.858526458E0,-3.648365140E-1,-1.571076632E0,1.305648565E0
1.868492458E0,-7.102686167E-1,-1.604584098E0,1.362881780E0
1.878459458E0,-9.946833253E-1,-1.648039460E0,1.371778607E0
1.888425458E0,-1.157230735E0,-1.610448956E0,1.315076590E0
1.898391208E0,-1.202975631E0,-1.569703460E0,1.451979041E0
1.908357208E0,-1.269059777E0,-1.548282027E0,1.626956344E0
1.918323208E0,-1.407426953E0,-1.457195997E0,1.603672385E0
1.928290208E0,-1.542618036E0,-1.376741767E0,1.448612332E0
1.938256208E0,-1.656062365E0,-1.249159813E0,1.295714855E0
1.948222208E0,-1.737021446E0,-9.864430428E-1,1.217566490E0
1.958188208E0,-1.768698692E0,-7.592431307E-1,1.162525415E0
1.968154208E0,-1.785287261E0,-5.224093199E-1,1.111194134E0
1.978120208E0,-1.841039419E0,-3.723521829E-1,1.084613681E0
1.988087208E0,-1.956870079E0,-2.427884340E-1,1.065719724E0
1.998053208E0,-2.167203426E0,-5.445501953E-2,1.004942417E0
2.008019208E0,-2.401110888E0,1.844360679E-1,7.946195006E-1
2.017985208E0,-2.425951481E0,4.561613202E-1,3.936467171E-1
2.027951208E0,-2.324406862E0,7.049396038E-1,-2.977361903E-2
2.037918208E0,-1.709217906E0,6.534122229E-1,-4.978142977E-1
2.047884208E0,-1.113229513E0,5.251190662E-1,-8.750447631E-1
2.057850208E0,-1.087965965E0,4.347133040E-1,-9.670364857E-1
2.067816208E0,-1.358067870E0,3.581880927E-1,-9.555121064E-1
2.077782208E0,-1.414582849E0,3.652489483E-1,-9.449816942E-1
2.087748208E0,-1.358937502E0,2.469490916E-1,-8.983717561E-1
2.097715208E0,-1.129095435E0,-6.684503518E-3,-8.936502337E-1
2.107681208E0,-8.457700014E-1,-1.269798726E-1,-8.528352976E-1
2.117647208E0,-5.261232853E-1,-1.327536106E-1,-8.227154613E-1
2.127613208E0,-8.289722353E-2,-7.539140061E-4,-9.165647626E-1
2.137579208E0,3.837149739E-1,2.448758185E-1,-1.027790904E0
2.147546208E0,7.028636336E-1,5.042367578E-1,-1.056234598E0
2.157512208E0,9.238676429E-1,5.600723028E-1,-9.195532203E-1
2.167478208E0,1.086951494E0,5.418127179E-1,-7.923347950E-1
2.177444208E0,1.136219382E0,6.014369130E-1,-7.374616861E-1
2.187410208E0,1.102296472E0,8.294384480E-1,-6.753224730E-1
2.197377208E0,8.238449097E-1,1.314218521E0,-6.803683639E-1
2.207343208E0,4.381714761E-1,1.426593900E0,-7.519151568E-1
2.217309208E0,2.327861041E-1,1.226260781E0,-4.802138507E-1
2.227275208E0,-1.507946253E-1,6.744049788E-1,-4.585895315E-2
2.237241208E0,-4.722733498E-1,2.182664722E-1,1.284412146E-1
2.247208208E0,-6.068181396E-1,1.329667568E-1,-2.977921814E-2
2.257174208E0,-6.467080116E-1,2.704297900E-1,-2.918702066E-1
2.267140208E0,-7.434651852E-1,3.231548071E-1,-7.502145171E-1
2.277106208E0,-8.673884869E-1,9.496663511E-2,-1.051167607E0
2.287072208E0,-9.143159389E-1,-8.314764500E-2,-9.701614380E-1
2.297038208E0,-1.015143514E0,-7.254765369E-4,-9.528383613E-1
2.307005208E0,-1.233907461E0,4.459194541E-1,-1.165811896E0
2.316971208E0,-1.384733558E0,9.051604867E-1,-1.524167418E0
2.326937208E0,-1.323221326E0,1.489420891E0,-1.769824386E0
2.336903208E0,-9.325496554E-1,1.733117461E0,-1.714212060E0
2.346869208E0,-5.393727422E-1,1.812553048E0,-1.608820796E0
2.356836208E0,-3.055109680E-1,1.562830567E0,-1.560801029E0
2.366802208E0,-3.235698938E-1,1.266543865E0,-1.578570127E0
2.376768208E0,-5.827953815E-1,1.030706644E0,-1.634944201E0
2.386734208E0,-8.260360360E-1,9.104019403E-1,-1.560849309E0
2.396700208E0,-8.717031479E-1,8.087581396E-1,-1.405161023E0
2.406667208E0,-8.492383957E-1,6.556362510E-1,-1.159546614E0
2.416633208E0,-8.008652329E-1,6.709015369E-1,-8.068610430E-1
2.426599208E0,-7.642960548E-1,5.936451554E-1,-5.279064775E-1
2.436565208E0,-8.100630045E-1,3.956300914E-1,-4.950875640E-1
2.446531208E0,-7.800623775E-1,5.582358837E-1,-6.522751451E-1
2.456498208E0,-6.780691743E-1,1.092981815E0,-8.108506799E-1
2.466464208E0,-4.227136672E-1,1.710855842E0,-8.708859682E-1
2.476430208E0,-1.083368212E-1,2.170037985E0,-8.560026288E-1
2.486396208E0,2.245569080E-1,2.430240154E0,-8.850236535E-1
2.496362208E0,7.335748672E-1,2.362548828E0,-9.099771976E-1
2.506328208E0,1.174624562E0,1.876750231E0,-9.956747293E-1
2.516295208E0,1.402078509E0,9.867607355E-1,-1.156427383E0
2.526261208E0,1.116243601E0,-6.666642427E-1,-1.572719932E0
2.536227208E0,3.953149915E-1,-1.923438907E0,-2.248989820E0
2.546193208E0,-5.055324435E-1,-1.716380835E0,-2.937566996E0
2.556159208E0,-1.497099519E0,-6.076396704E-1,-3.608249664E0
2.566126208E0,-2.471073866E0,6.091490388E-1,-4.215731144E0
2.576092208E0,-3.219549894E0,1.379868150E0,-4.785658360E0
2.586058208E0,-3.572127581E0,1.662982345E0,-5.161106110E0
2.596024208E0,-3.556545258E0,1.806490779E0,-5.468863964E0
2.605990208E0,-3.222547054E0,1.938659668E0,-5.818073273E0
2.615957208E0,-2.759822845E0,2.095793247E0,-6.095862389E0
2.625923208E0,-2.315362453E0,1.917140245E0,-6.139476299E0
2.635889208E0,-1.867730856E0,1.308891058E0,-5.811822414E0
2.645855208E0,-3.727800548E-1,-2.529052258E0,-4.299020290E0
2.655821208E0,-1.858855486E-1,-4.433596611E0,-3.365696192E0
2.665788208E0,-1.024743319E0,-3.986747742E0,-3.033909321E0
2.675754208E0,-1.396516323E0,-2.817688942E0,-2.952444553E0
2.685720208E0,-1.269273400E0,-1.385692000E0,-3.144587517E0
2.695686208E0,-6.302258372E-1,-4.550683126E-2,-3.352927446E0
2.705652208E0,2.620701790E-1,7.821431160E-1,-3.411348820E0
2.715619208E0,1.162273407E0,5.558713675E-1,-4.045800209E0
2.725585208E0,1.559969187E0,-3.725005686E-1,-3.504095316E0
2.735551208E0,1.389369965E0,-2.053897619E0,8.912243694E-2
2.745517208E0,9.823493958E-1,-2.561015606E0,2.187079430E0
2.755483208E0,1.239964128E0,-1.507479429E0,2.895693302E0
2.765449208E0,1.607912779E0,7.932153344E-1,2.690897465E0
2.775416208E0,1.669046998E0,2.210195065E0,2.142592669E0
2.785382208E0,2.394564867E0,1.643850684E0,1.120412827E0
2.795348208E0,3.554988146E0,1.170593575E-1,2.454379350E-1
2.805314208E0,4.116224766E0,-3.509321809E-1,1.689140126E-2
2.815280208E0,3.995428085E0,4.035808891E-2,-1.781132370E-1
2.825247208E0,3.720439434E0,5.806372762E-1,-1.220214590E-1
2.835213208E0,3.579346657E0,8.195510507E-1,4.027608335E-1
2.845179208E0,3.466131926E0,8.466012478E-1,1.042156339E0
2.855145208E0,3.305300474E0,1.035298467E0,8.953519464E-1
2.865111208E0,3.134738445E0,1.442368507E0,4.076196849E-1
2.875078208E0,2.993902683E0,1.643591642E0,1.681527942E-1
2.885044208E0,2.881954432E0,1.491573811E0,6.995396316E-2
2.895010208E0,2.743257046E0,8.870879412E-1,-8.921597898E-2
2.904975708E0,2.489748001E0,3.282551467E-2,-2.290677726E-1
2.914941708E0,2.186220407E0,-5.915683508E-1,-2.718077600E-1
2.924907708E0,1.780126333E0,-1.106739163E0,-6.762921065E-2
2.934874708E0,9.217445254E-1,-2.459022522E0,4.111645222E-1
2.944840708E0,-3.768733442E-1,-4.839549065E0,1.026608348E0
2.954806708E0,-1.021945238E0,-6.165227413E0,1.720621467E0
2.964772708E0,-6.360485554E-1,-4.989408493E0,2.164988518E0
2.974738708E0,1.143920660E0,-1.119000912E0,2.463628292E0
2.984705708E0,1.848692894E0,5.780001879E-1,2.545827150E0
2.994671708E0,1.798543215E0,1.011255503E0,2.237470388E0
3.004637708E0,1.474818826E0,3.200079501E-1,1.724382997E0
3.014603708E0,1.044402480E0,-1.066468596E0,1.390605569E0
3.024569708E0,6.256927848E-1,-2.120021820E0,1.376502872E0
3.034536708E0,2.822549641E-1,-2.489680052E0,1.439535856E0
3.044502708E0,5.791613460E-2,-2.514366627E0,1.484696150E0
3.054468708E0,-9.719514847E-2,-2.381302595E0,1.457595229E0
3.064434708E0,-2.320981324E-1,-2.164752722E0,1.349341154E0
3.074400708E0,-4.130852222E-1,-2.072933912E0,1.196198225E0
3.084367708E0,-6.503977180E-1,-1.894850373E0,1.004104137E0
3.094333708E0,-8.839777112E-1,-1.694216847E0,8.217862844E-1
3.104299708E0,-1.094432116E0,-1.510991096E0,6.404588223E-1
3.114265708E0,-1.284649730E0,-1.288677335E0,5.103319883E-1
3.124231708E0,-1.400618196E0,-9.207819104E-1,4.554314613E-1
3.134197708E0,-1.265551686E0,-5.326991677E-1,3.900578022E-1
3.144164708E0,-8.502498269E-1,-2.967641652E-1,2.428250760E-1
3.154130708E0,-2.103905231E-1,-6.190081313E-2,1.026173607E-1
3.164096708E0,4.804668427E-1,-1.162742004E-1,-9.272627532E-3
3.174062708E0,9.271332622E-1,-9.440706372E-1,-1.847477704E-1
3.184028708E0,1.414332271E0,-1.887194872E0,-2.106833309E-1
3.193995708E0,1.750537992E0,-2.294988871E0,-1.714741439E-2
3.203961708E0,1.695242524E0,-2.300281048E0,1.096884087E-1
3.213927708E0,1.508959770E0,-2.061230659E0,3.480975032E-1
3.223893708E0,1.371794701E0,-1.628383994E0,6.323388815E-1
3.233859708E0,1.241958141E0,-1.095110297E0,8.706449270E-1
3.243825708E0,9.475806952E-1,-6.086031795E-1,9.622027874E-1
3.253792708E0,5.995436311E-1,-3.190030754E-1,8.871943355E-1
3.263758708E0,4.449023902E-1,-1.529875845E-1,8.326509595E-1
3.273724708E0,6.271528602E-1,-6.517936587E-1,9.747899771E-1
3.283690708E0,-8.550635539E-3,-1.079686046E0,1.714307427E0
3.293656708E0,-9.558841586E-1,6.701921225E-1,2.099656343E0
3.303623708E0,-1.345255613E0,1.820757270E0,6.946963668E-1
3.313589708E0,-4.798928499E-1,1.040642738E0,6.422459483E-1
3.323555708E0,9.943829477E-2,1.238847613E0,7.502810359E-1
3.333521708E0,5.241030455E-1,1.666483402E0,8.977077603E-1
3.343487708E0,8.910776377E-1,-1.260085821E0,7.365913391E-1
3.353454708E0,-5.214552879E-1,-3.728569031E0,1.111245155E0
3.363420708E0,-1.745946288E0,-8.405809999E-1,1.752693653E-1
3.373386708E0,-2.025580645E0,2.334215403E0,-1.348618269E0
3.383352708E0,-1.770764947E0,4.572482586E0,-2.403243065E0
3.393318708E0,-1.760404706E0,5.177126408E0,-2.866137028E0
3.403284708E0,-2.095957518E0,5.129514217E0,-3.055366039E0
3.413251708E0,-2.717381954E0,4.481480598E0,-3.033983231E0
3.423217708E0,-3.331311226E0,3.580505371E0,-2.699762106E0
3.433183708E0,-3.807389021E0,2.597747564E0,-2.369663715E0
3.443149708E0,-3.745720148E0,1.916002989E0,-2.309018373E0
3.453115708E0,-3.222625732E0,1.372338057E0,-2.364268780E0
3.463082708E0,-2.589631081E0,6.469619870E-1,-2.204975367E0
3.473048708E0,-2.185140610E0,5.512687564E-1,-1.615247726E0
3.483014708E0,-1.914023399E0,1.433641315E0,-8.572514653E-1
3.492980708E0,-1.799087763E0,2.339673519E0,-2.923822775E-2
3.502946708E0,-1.785269141E0,2.749658585E0,7.545990944E-1
3.512912708E0,-1.988586545E0,3.959083080E0,1.135825038E0
3.522879708E0,-2.100592613E0,5.122184277E0,1.078729391E0
3.532845708E0,-1.970060945E0,5.089184761E0,8.785108328E-1
3.542811708E0,-1.808648705E0,3.884742975E0,5.027640462E-1
3.552777708E0,-1.769720197E0,2.266291857E0,5.946547724E-3
3.562743708E0,-1.660594344E0,8.935745955E-1,-4.139170945E-1
3.572710708E0,-1.363435864E0,1.229955778E-1,-3.384771943E-1
3.582676708E0,-9.141157866E-1,-2.934911251E-1,-1.663712859E-1
3.592642708E0,-4.400795102E-1,-4.719399512E-1,-1.058946326E-1
3.602608708E0,-9.134913981E-2,-4.064431489E-1,-8.164424449E-2
3.612574708E0,1.074249446E-1,-3.416761458E-1,-9.762667120E-2
3.622540708E0,1.557948589E-1,-4.036415517E-1,-1.380956769E-1
3.632507708E0,9.221455455E-2,-6.337500811E-1,-1.541598588E-1
3.642473708E0,6.253669411E-2,-1.028613210E0,-1.568398774E-1
3.652439708E0,1.159895286E-1,-1.405479074E0,-1.997005194E-1
3.662405708E0,2.042685896E-1,-1.644536138E0,-3.536972404E-1
3.672371708E0,2.437994778E-1,-1.688621640E0,-5.777623057E-1
3.682337708E0,2.403467000E-1,-1.496996999E0,-8.724732995E-1
3.692304708E0,1.707971692E-1,-1.075703382E0,-1.200546503E0
3.702270708E0,3.560744599E-2,-5.638114214E-1,-1.587429404E0
3.712236708E0,-2.556156218E-1,1.083429903E-1,-2.072333813E0
3.722202708E0,-8.342099190E-1,1.153998137E0,-2.374315262E0
3.732168708E0,-1.216696024E0,1.855638027E0,-2.304899693E0
3.742135708E0,-1.219916224E0,1.899291635E0,-1.937332153E0
3.752101708E0,-1.163521171E0,1.770442843E0,-1.322632432E0
3.762067708E0,-1.205071211E0,1.686809540E0,-5.078890324E-1
3.772033708E0,-1.358689785E0,1.590983868E0,-2.579779923E-2
3.781999708E0,-1.717037916E0,1.457250714E0,-3.612548113E-2
3.791965708E0,-2.295129299E0,1.345569253E0,-4.303638265E-2
3.801932708E0,-2.975282669E0,1.248375416E0,2.103859931E-1
3.811898708E0,-3.300600767E0,1.595171690E0,5.979025960E-1
3.821864708E0,-2.426883698E0,1.894373775E0,7.798377275E-1
3.831830708E0,-7.351680659E-3,1.421781182E0,7.788137794E-1
3.841796708E0,2.672061920E0,8.266761899E-1,8.102849126E-1
3.851762708E0,3.839704037E0,-2.987283282E-2,1.188825369E0
3.861729708E0,3.702008724E0,-9.997226000E-1,1.436025143E0
3.871695708E0,3.296719313E0,-1.390375495E0,1.539767265E0
3.881661708E0,3.037688255E0,-1.296640158E0,1.635243773E0
3.891627708E0,2.735083818E0,-6.569582224E-1,1.544758677E0
3.901594208E0,2.771396399E0,-2.509978116E-1,1.210786700E0
3.911561208E0,2.973425388E0,-2.647293508E-1,6.379388571E-1
