"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.858649276E1,5.237554167E1,4.837200000E0,4.401300336E1,1.934326053E0,4.000000000E0,1.799999952E0,1.189999962E1
5.958649276E1,5.237556667E1,4.837201667E0,4.351303935E1,1.847852826E0,4.000000000E0,1.899999976E0,1.169999981E1
6.058649276E1,5.237558833E1,4.837205000E0,4.281307163E1,1.758805871E0,4.000000000E0,1.899999976E0,1.200000000E1
6.158649276E1,5.237560667E1,4.837206667E0,4.231309828E1,1.783512473E0,4.000000000E0,1.899999976E0,1.200000000E1
6.258649276E1,5.237561667E1,4.837208333E0,4.151311326E1,1.728437185E0,4.000000000E0,1.899999976E0,1.280000019E1
6.358649276E1,5.237563500E1,4.837210000E0,4.091313991E1,1.724319458E0,5.000000000E0,1.899999976E0,1.310000038E1
6.458649276E1,5.237565667E1,4.837213333E0,4.011317219E1,1.665641069E0,5.000000000E0,1.799999952E0,1.260000038E1
6.558649276E1,5.237568000E1,4.837216667E0,3.921320681E1,1.551372766E0,5.000000000E0,1.799999952E0,1.260000038E1
6.658649276E1,5.237570500E1,4.837220000E0,3.701324377E1,1.499900579E0,5.000000000E0,1.799999952E0,1.230000019E1
6.758649276E1,5.237572833E1,4.837223333E0,3.531327839E1,1.440707445E0,5.000000000E0,1.700000048E0,1.200000000E1
6.858649276E1,5.237574833E1,4.837226667E0,3.451330834E1,1.413427234E0,5.000000000E0,1.700000048E0,1.169999981E1
6.958649276E1,5.237576500E1,4.837228333E0,3.361333266E1,1.345998645E0,5.000000000E0,1.600000024E0,1.189999962E1
7.058649276E1,5.237577667E1,4.837250000E0,3.311336158E1,1.314600587E0,1.414000034E1,1.600000024E0,1.189999962E1
7.158649276E1,5.237578833E1,4.837270000E0,3.281338953E1,1.210111976E0,2.094000053E1,1.600000024E0,1.160000038E1
7.258649276E1,5.237579500E1,4.837280000E0,3.301340468E1,1.157610297E0,1.543000031E1,1.600000024E0,1.180000019E1
7.358649276E1,5.237579833E1,4.837268333E0,3.311340258E1,1.038709402E0,3.262300110E2,1.600000024E0,1.150000000E1
7.458649276E1,5.237580500E1,4.837256667E0,3.351340514E1,9.331913590E-1,3.185199890E2,1.600000024E0,1.169999981E1
7.558649276E1,5.237581333E1,4.837243333E0,3.381340907E1,8.678216934E-1,3.132799988E2,1.600000024E0,1.169999981E1
7.658649276E1,5.237583333E1,4.837220000E0,3.421342354E1,8.848075271E-1,3.000899963E2,1.600000024E0,1.160000038E1
7.758649276E1,5.237584167E1,4.837181667E0,3.451341295E1,9.568685889E-1,2.928399963E2,1.700000048E0,1.200000000E1
7.858649276E1,5.237585833E1,4.837161667E0,3.491342468E1,1.021723628E0,2.982699890E2,1.700000048E0,1.200000000E1
7.958649276E1,5.237586500E1,4.837145000E0,3.541342435E1,1.204450011E0,2.942099915E2,1.700000048E0,1.110000038E1
8.058649276E1,5.237589333E1,4.837116667E0,3.541344758E1,1.314085841E0,3.043999939E2,1.799999952E0,1.100000000E1
8.158649276E1,5.237592333E1,4.837096667E0,3.531347799E1,1.396956086E0,3.128099976E2,1.899999976E0,1.119999981E1
8.258649276E1,5.237595000E1,4.837085000E0,3.571350857E1,1.508650780E0,3.188099976E2,1.899999976E0,1.060000038E1
8.358649276E1,5.237597333E1,4.837068333E0,3.621353158E1,1.586373925E0,3.191300049E2,1.799999952E0,1.069999981E1
8.458649276E1,5.237598167E1,4.837046667E0,3.691353067E1,1.641963840E0,2.885899963E2,1.799999952E0,1.060000038E1
