"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.700631580E-1,2.722499892E-2,1.017500043E0,-1.067000031E-1
3.725527470E-1,-1.952499896E-2,9.451749921E-1,-9.184999764E-2
3.750424560E-1,-6.847500056E-2,8.610249758E-1,-8.222500235E-2
3.775321290E-1,-1.153625026E-1,7.642250061E-1,-7.479999959E-2
3.800217810E-1,-1.728374958E-1,6.674249768E-1,-6.627500057E-2
3.825114390E-1,-2.303124964E-1,5.609999895E-1,-6.421250105E-2
3.850011310E-1,-2.919124961E-1,4.588375092E-1,-6.104999781E-2
3.874908170E-1,-3.558500111E-1,3.587374985E-1,-5.252499878E-2
3.899803760E-1,-4.228124917E-1,2.693625093E-1,-4.606249928E-2
3.924699720E-1,-4.910124838E-1,1.853500009E-1,-3.753750026E-2
3.949596350E-1,-5.579749942E-1,1.128875017E-1,-3.973750025E-2
3.974492780E-1,-6.228749752E-1,4.482499883E-2,-5.032499880E-2
3.999389790E-1,-6.836500168E-1,-1.374999993E-2,-5.995000154E-2
4.024286630E-1,-7.420874834E-1,-5.527500063E-2,-7.479999959E-2
4.049182230E-1,-7.953000069E-1,-9.253749996E-2,-9.927500039E-2
4.074078190E-1,-8.421875238E-1,-1.179749966E-1,-1.259499937E-1
4.098975260E-1,-8.815125227E-1,-1.296624988E-1,-1.610125005E-1
4.123872010E-1,-9.156125188E-1,-1.307625026E-1,-2.036374956E-1
4.148768330E-1,-9.358249903E-1,-1.233374998E-1,-2.472250015E-1
4.173664920E-1,-9.528750181E-1,-1.137124971E-1,-2.950749993E-1
4.198560550E-1,-9.623624682E-1,-9.459999949E-2,-3.451249897E-1
4.223456460E-1,-9.602999687E-1,-6.902500242E-2,-3.962749839E-1
4.248353540E-1,-9.549375176E-1,-2.653750032E-2,-4.461874962E-1
4.273250280E-1,-9.369249940E-1,2.034999989E-2,-4.993999898E-1
4.298146940E-1,-9.134125113E-1,7.892499864E-2,-5.516499877E-1
4.323043520E-1,-8.857749701E-1,1.447875053E-1,-5.995000005E-1
4.347940490E-1,-8.518124819E-1,2.150499970E-1,-6.495500207E-1
4.372837350E-1,-8.134499788E-1,2.938374877E-1,-6.962999701E-1
4.397732940E-1,-7.719249725E-1,3.854124844E-1,-7.357624769E-1
4.422628910E-1,-7.314999700E-1,4.790500104E-1,-7.739874721E-1
4.447525430E-1,-6.921749711E-1,5.812125206E-1,-8.123499751E-1
4.472421860E-1,-6.474875212E-1,6.876375079E-1,-8.474124670E-1
4.497317530E-1,-6.026625037E-1,7.950249910E-1,-8.835750222E-1
4.522213420E-1,-5.612750053E-1,9.025499821E-1,-9.145125151E-1
4.547110230E-1,-5.197499990E-1,1.006912470E0,-9.486125112E-1
4.572006970E-1,-4.802874923E-1,1.111137509E0,-9.857375026E-1
4.596903490E-1,-4.463250041E-1,1.210137486E0,-1.025200009E0
4.621800070E-1,-4.153875113E-1,1.311200023E0,-1.060262442E0
4.646697040E-1,-3.909125030E-1,1.405937433E0,-1.093262553E0
4.671593890E-1,-3.760625124E-1,1.492149949E0,-1.120900035E0
4.696489250E-1,-3.675374985E-1,1.580425024E0,-1.145375013E0
4.721385210E-1,-3.675374985E-1,1.662374973E0,-1.176312447E0
4.746281840E-1,-3.738625050E-1,1.747487545E0,-1.208212495E0
4.771178270E-1,-3.866499960E-1,1.828474998E0,-1.238049984E0
4.796075270E-1,-4.068624973E-1,1.909325004E0,-1.273112535E0
4.820972110E-1,-4.324375093E-1,1.984812498E0,-1.310374975E0
4.845867560E-1,-4.654375017E-1,2.059337378E0,-1.353000045E0
4.870763520E-1,-4.995374978E-1,2.130699873E0,-1.395487547E0
4.895660150E-1,-5.377625227E-1,2.199862480E0,-1.431650043E0
4.920556580E-1,-5.803874731E-1,2.264762402E0,-1.470012546E0
4.945453590E-1,-6.271374822E-1,2.328562498E0,-1.506175041E0
4.970350430E-1,-6.751250029E-1,2.386037588E0,-1.540274978E0
4.995246160E-1,-7.155500054E-1,2.440350056E0,-1.575337529E0
5.020142120E-1,-7.602375150E-1,2.487099886E0,-1.610537529E0
5.045039200E-1,-8.049250245E-1,2.526562452E0,-1.642437458E0
5.069935950E-1,-8.432874680E-1,2.554199934E0,-1.675437450E0
5.094832460E-1,-8.729875088E-1,2.571249962E0,-1.711599946E0
5.119729050E-1,-8.996624947E-1,2.559562445E0,-1.740337491E0
5.144624680E-1,-9.039250016E-1,2.507312536E0,-1.753124952E0
5.169520590E-1,-8.837124705E-1,2.412712574E0,-1.734974980E0
5.194417670E-1,-8.453499675E-1,2.289237499E0,-1.682862520E0
5.219314410E-1,-7.921375036E-1,2.172087431E0,-1.613700032E0
5.244210980E-1,-7.346624732E-1,2.086012602E0,-1.544537544E0
5.269107560E-1,-6.793875098E-1,2.033762455E0,-1.478537440E0
5.294004530E-1,-6.208124757E-1,1.984812498E0,-1.415699959E0
5.318901390E-1,-5.527499914E-1,1.910287499E0,-1.340212464E0
5.343796980E-1,-4.728625119E-1,1.815687537E0,-1.255100012E0
5.368692940E-1,-3.781250119E-1,1.697574973E0,-1.166687489E0
5.393590310E-1,-2.739000022E-1,1.570799947E0,-1.081575036E0
5.418487060E-1,-1.717374921E-1,1.430412531E0,-9.953625202E-1
5.443383570E-1,-7.493750006E-2,1.280400038E0,-9.102500081E-1
5.468280160E-1,2.626249939E-2,1.130249977E0,-8.282999992E-1
5.493175790E-1,1.124750003E-1,9.822999835E-1,-7.409874797E-1
5.518071700E-1,1.836999953E-1,8.365499973E-1,-6.484500170E-1
