"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.232072270E1,5.237454500E1,4.900031667E0,-4.851924808E0,7.664213777E-1,3.401400146E2,2.400000095E0,2.220000076E1
8.332072270E1,5.237455167E1,4.900023333E0,-4.751920221E0,8.014224768E-1,3.218299866E2,2.400000095E0,2.220000076E1
8.432072270E1,5.237456167E1,4.900010000E0,-4.751913824E0,8.637039065E-1,3.300100098E2,2.400000095E0,2.189999962E1
8.532072270E1,5.237457667E1,4.899995000E0,-4.851901326E0,9.182644486E-1,3.297699890E2,2.400000095E0,2.210000038E1
8.632072270E1,5.237459167E1,4.899986667E0,-5.151884959E0,0.000000000E0,3.297699890E2,2.500000000E0,2.210000038E1
8.732072270E1,5.237460000E1,4.899971667E0,-5.451881885E0,0.000000000E0,3.297699890E2,2.500000000E0,2.229999924E1
8.832072270E1,5.237460667E1,4.899955000E0,-5.751882135E0,0.000000000E0,3.297699890E2,2.599999905E0,2.270000076E1
8.932072270E1,5.237461333E1,4.899936667E0,-5.851883352E0,1.063930869E0,2.980100098E2,2.700000048E0,2.310000038E1
9.032072270E1,5.237462167E1,4.899923333E0,-5.951879311E0,0.000000000E0,2.980100098E2,2.700000048E0,2.320000076E1
9.132072270E1,5.237462000E1,4.899916667E0,-5.151885537E0,0.000000000E0,2.980100098E2,2.500000000E0,2.339999962E1
9.232072270E1,5.237462667E1,4.899893333E0,-5.451889656E0,1.005767226E0,2.917600098E2,2.700000048E0,2.389999962E1
9.332072270E1,5.237463000E1,4.899868333E0,-5.551899455E0,1.042827249E0,2.956600037E2,2.599999905E0,2.350000000E1
9.432072270E1,5.237463500E1,4.899848333E0,-5.751903995E0,1.017605782E0,3.197799988E2,2.599999905E0,2.370000076E1
9.532072270E1,5.237464500E1,4.899845000E0,-6.151891794E0,9.820899963E-1,3.195899963E2,2.500000000E0,2.400000000E1
9.632072270E1,5.237465167E1,4.899828333E0,-6.251892044E0,9.187791944E-1,2.882600098E2,2.500000000E0,2.329999924E1
9.732072270E1,5.237465500E1,4.899808333E0,-6.351898941E0,8.549535871E-1,2.799200134E2,2.500000000E0,2.270000076E1
9.832072270E1,5.237466000E1,4.899788333E0,-6.351903482E0,8.075991869E-1,2.750000000E2,2.400000095E0,2.289999962E1
9.932072270E1,5.237465833E1,4.899761667E0,-7.151921316E0,7.942163944E-1,2.815400085E2,2.400000095E0,2.370000076E1
1.003207227E2,5.237467333E1,4.899735000E0,-5.851915591E0,7.571563721E-1,3.168500061E2,2.200000048E0,2.170000076E1
1.013207227E2,5.237468667E1,4.899715000E0,-5.051908352E0,7.859808207E-1,3.317099915E2,2.099999905E0,2.039999962E1
1.023207227E2,5.237469333E1,4.899701667E0,-4.851906668E0,7.911280394E-1,3.380700073E2,1.899999976E0,1.889999962E1
1.033207227E2,5.237470167E1,4.899698333E0,-4.551896823E0,7.746569514E-1,3.451799927E2,1.899999976E0,1.910000038E1
1.043207227E2,5.237471167E1,4.899695000E0,-4.251884623E0,7.839219570E-1,3.483699951E2,1.899999976E0,1.939999962E1
1.053207227E2,5.237472167E1,4.899695000E0,-4.051870487E0,7.988488674E-1,3.462799988E2,1.899999976E0,1.960000038E1
1.063207227E2,5.237473500E1,4.899700000E0,-4.051848738E0,8.848075271E-1,6.940000057E0,1.899999976E0,1.870000076E1
1.073207227E2,5.237474833E1,4.899703333E0,-4.051827956E0,9.630452991E-1,8.369999886E0,1.899999976E0,1.750000000E1
1.083207227E2,5.237476333E1,4.899701667E0,-3.651807720E0,1.019150019E0,1.812000084E1,1.799999952E0,1.779999924E1
1.093207227E2,5.237477833E1,4.899711667E0,-3.651780712E0,1.079887271E0,2.070999908E1,1.799999952E0,1.779999924E1
1.103207227E2,5.237478833E1,4.899720000E0,-3.951761740E0,1.169963598E0,1.589000034E1,1.799999952E0,1.700000000E1
1.113207227E2,5.237479667E1,4.899721667E0,-4.251748993E0,1.186949492E0,1.005000019E1,1.799999952E0,1.710000038E1
1.123207227E2,5.237481167E1,4.899730000E0,-4.151722953E0,1.163272262E0,3.200000000E1,1.799999952E0,1.720000076E1
1.133207227E2,5.237482000E1,4.899738333E0,-4.451706336E0,1.154007196E0,3.200000000E1,1.799999952E0,1.710000038E1
1.143207227E2,5.237483000E1,4.899748333E0,-4.451686396E0,1.161728024E0,3.200000000E1,1.700000048E0,1.750000000E1
1.153207227E2,5.237483833E1,4.899758333E0,-4.551668812E0,1.128271103E0,3.200000000E1,1.700000048E0,1.739999962E1
1.163207227E2,5.237484667E1,4.899766667E0,-4.551652195E0,1.073710561E0,3.200000000E1,1.700000048E0,1.789999962E1
1.173207227E2,5.237485000E1,4.899770000E0,-4.351645548E0,1.000105262E0,3.200000000E1,1.700000048E0,1.800000000E1
1.183207227E2,5.237486000E1,4.899780000E0,-4.251625608E0,9.393680692E-1,3.200000000E1,1.700000048E0,1.860000038E1
1.193207227E2,5.237487000E1,4.899790000E0,-4.051605667E0,8.580419421E-1,3.200000000E1,1.700000048E0,1.829999924E1
1.203207227E2,5.237488167E1,4.899801667E0,-4.051582404E0,8.081138730E-1,3.200000000E1,1.799999952E0,1.810000038E1
1.213207227E2,5.237489167E1,4.899811667E0,-4.151562463E0,7.906133533E-1,3.200000000E1,1.799999952E0,1.870000076E1
1.223207227E2,5.237490167E1,4.899821667E0,-4.351542523E0,8.189230561E-1,3.200000000E1,1.799999952E0,1.789999962E1
1.233207227E2,5.237491000E1,4.899830000E0,-4.551525906E0,8.431149721E-1,3.200000000E1,1.799999952E0,1.800000000E1
1.243207227E2,5.237492000E1,4.899841667E0,-4.651504998E0,8.580419421E-1,3.200000000E1,1.799999952E0,1.850000000E1
1.253207227E2,5.237493333E1,4.899855000E0,-4.651478411E0,8.971608281E-1,3.200000000E1,1.799999952E0,1.920000076E1
1.263207227E2,5.237494667E1,4.899868333E0,-4.651451823E0,9.141466618E-1,3.200000000E1,1.799999952E0,1.950000000E1
1.273207227E2,5.237496167E1,4.899883333E0,-4.551421912E0,9.728249907E-1,3.200000000E1,1.799999952E0,1.889999962E1
1.283207227E2,5.237497500E1,4.899898333E0,-4.551394357E0,1.035621166E0,3.200000000E1,1.799999952E0,1.820000076E1
1.293207227E2,5.237498167E1,4.899903333E0,-4.551382031E0,1.067533851E0,3.200000000E1,1.700000048E0,1.720000076E1
1.303207227E2,5.237499333E1,4.899915000E0,-4.651358766E0,1.085549116E0,3.200000000E1,1.700000048E0,1.760000038E1
1.313207227E2,5.237499667E1,4.899920000E0,-4.651351152E0,1.099446654E0,3.200000000E1,1.799999952E0,1.820000076E1
1.323207227E2,5.237500833E1,4.899931667E0,-4.751327888E0,1.114373565E0,3.200000000E1,1.799999952E0,1.789999962E1
1.333207227E2,5.237501500E1,4.899938333E0,-4.651314594E0,1.098931909E0,3.200000000E1,1.799999952E0,1.810000038E1
1.343207227E2,5.237501833E1,4.899941667E0,-4.651307947E0,1.073710561E0,3.200000000E1,1.799999952E0,1.839999962E1
1.353207227E2,5.237501833E1,4.899941667E0,-4.551307947E0,1.030988574E0,3.200000000E1,1.799999952E0,1.870000076E1
1.363207227E2,5.237503000E1,4.899953333E0,-4.451284682E0,1.017605782E0,3.200000000E1,1.799999952E0,1.910000038E1
1.373207227E2,5.237503333E1,4.899956667E0,-4.251278035E0,9.501771927E-1,3.200000000E1,1.700000048E0,1.800000000E1
1.383207227E2,5.237504333E1,4.899966667E0,-4.351258094E0,8.945872188E-1,3.200000000E1,1.700000048E0,1.800000000E1
1.393207227E2,5.237505500E1,4.899978333E0,-4.151234830E0,8.817191720E-1,3.200000000E1,1.700000048E0,1.760000038E1
1.403207227E2,5.237506667E1,4.899990000E0,-3.751211565E0,8.657627702E-1,3.200000000E1,1.700000048E0,1.750000000E1
1.413207227E2,5.237507833E1,4.900001667E0,-3.551188300E0,8.487769365E-1,3.200000000E1,1.700000048E0,1.779999924E1
1.423207227E2,5.237508667E1,4.900011667E0,-3.451170715E0,8.178936243E-1,3.200000000E1,1.700000048E0,1.739999962E1
1.433207227E2,5.237509667E1,4.900021667E0,-3.251150774E0,7.921574712E-1,3.200000000E1,1.700000048E0,1.729999924E1
1.443207227E2,5.237510500E1,4.900030000E0,-2.951134156E0,7.787747383E-1,3.200000000E1,1.700000048E0,1.750000000E1
1.453207227E2,5.237511667E1,4.900041667E0,-2.751110892E0,8.034814000E-1,3.200000000E1,1.700000048E0,1.739999962E1
1.463207227E2,5.237513167E1,4.900056667E0,-2.451080979E0,8.374530673E-1,3.200000000E1,1.700000048E0,1.770000076E1
1.473207227E2,5.237514667E1,4.900073333E0,-2.051050100E0,8.873811364E-1,3.200000000E1,1.700000048E0,1.710000038E1
1.483207227E2,5.237516167E1,4.900086667E0,-1.651021155E0,9.198086262E-1,3.200000000E1,1.700000048E0,1.660000038E1
1.493207227E2,5.237517333E1,4.900100000E0,-1.550996922E0,9.095141888E-1,3.200000000E1,1.700000048E0,1.679999924E1
1.503207227E2,5.237518333E1,4.900110000E0,-1.450976981E0,9.007638693E-1,3.200000000E1,1.700000048E0,1.700000000E1
1.513207227E2,5.237519333E1,4.900120000E0,-1.450957039E0,8.966460824E-1,3.200000000E1,1.700000048E0,1.720000076E1
1.523207227E2,5.237520167E1,4.900128333E0,-1.150940421E0,8.904694319E-1,3.200000000E1,1.700000048E0,1.760000038E1
1.533207227E2,5.237521000E1,4.900138333E0,-8.509228356E-1,9.002491832E-1,3.200000000E1,1.700000048E0,1.750000000E1
1.543207227E2,5.237522000E1,4.900146667E0,-6.509038614E-1,8.935577869E-1,3.200000000E1,1.700000048E0,1.739999962E1
1.553207227E2,5.237522833E1,4.900156667E0,-6.508862757E-1,8.801749945E-1,3.200000000E1,1.700000048E0,1.750000000E1
1.563207227E2,5.237523833E1,4.900165000E0,-6.508673015E-1,8.426002860E-1,3.200000000E1,1.700000048E0,1.710000038E1
1.573207227E2,5.237524833E1,4.900176667E0,-7.508463921E-1,8.142905831E-1,3.200000000E1,1.700000048E0,1.710000038E1
1.583207227E2,5.237525667E1,4.900185000E0,-6.508297738E-1,7.617889047E-1,3.200000000E1,1.700000048E0,1.689999962E1
